name,type,description
CALL,Add-in and Automation,Calls a procedure in a dynamic link library or code resource
EUROCONVERT,Add-in and Automation,"Converts a number to euros, converts a number from euros to a euro member currency, or converts a number from one euro member currency to another by using the euro as an intermediary (triangulation)."
GETPIVOTDATA ,Add-in and Automation,Returns data stored in a PivotTable report
REGISTER.ID,Add-in and Automation,Returns the register ID of the specified dynamic link library (DLL) or code resource that has been previously registered
SQL.REQUEST,Add-in and Automation,"Connects with an external data source and runs a query from a worksheet, then returns the result as an array without the need for macro programming"
BETADIST,Compatibility,"Returns the beta cumulative distribution function NOTE: In Excel 2007, this is a Statistical function."
BETAINV,Compatibility,"Returns the inverse of the cumulative distribution function for a specified beta distribution NOTE: In Excel 2007, this is a Statistical function."
BINOMDIST,Compatibility,"Returns the individual term binomial distribution probability NOTE: In Excel 2007, this is a Statistical function."
CHIDIST,Compatibility,"Returns the one-tailed probability of the chi-squared distribution NOTE: In Excel 2007, this is a Statistical function."
CHIINV,Compatibility,"Returns the inverse of the one-tailed probability of the chi-squared distribution NOTE: In Excel 2007, this is a Statistical function."
CHITEST,Compatibility,"Returns the test for independence NOTE: In Excel 2007, this is a Statistical function."
CONFIDENCE,Compatibility,"Returns the confidence interval for a population mean NOTE: In Excel 2007, this is a Statistical function."
COVAR,Compatibility,"Returns covariance, the average of the products of paired deviations NOTE: In Excel 2007, this is a Statistical function."
CRITBINOM,Compatibility,"Returns the smallest value for which the cumulative binomial distribution is less than or equal to a criterion value NOTE: In Excel 2007, this is a Statistical function."
EXPONDIST,Compatibility,"Returns the exponential distribution NOTE: In Excel 2007, this is a Statistical function."
FDIST,Compatibility,"Returns the F probability distribution NOTE: In Excel 2007, this is a Statistical function."
FLOOR,Compatibility,"Rounds a number down, toward zero NOTE: In Excel 2007 and Excel 2010, this is a Math and trigonometryfunction."
FTEST,Compatibility,"Returns the result of an F-test NOTE: In Excel 2007, this is a Statistical function."
GAMMADIST,Compatibility,"Returns the gamma distributionNOTE: In Excel 2007, this is a Statistical function."
GAMMAINV,Compatibility,"Returns the inverse of the gamma cumulative distribution NOTE: In Excel 2007, this is a Statistical function."
HYPGEOMDIST,Compatibility,"Returns the hypergeometric distribution NOTE: In Excel 2007, this is a Statistical function."
LOGINV,Compatibility,Returns the inverse of the lognormal cumulative distribution
LOGNORMDIST,Compatibility,Returns the cumulative lognormal distribution
MODE,Compatibility,"Returns the most common value in a data set NOTE: In Excel 2007, this is a Statistical function."
NEGBINOMDIST,Compatibility,"Returns the negative binomial distribution NOTE: In Excel 2007, this is a Statistical function."
NORM.INV ,Compatibility,"Returns the inverse of the normal cumulative distribution NOTE: In Excel 2007, this is a Statistical function."
NORMDIST,Compatibility,"Returns the normal cumulative distribution NOTE: In Excel 2007, this is a Statistical function."
NORMSDIST,Compatibility,"Returns the standard normal cumulative distribution NOTE: In Excel 2007, this is a Statistical function."
NORMSINV,Compatibility,"Returns the inverse of the standard normal cumulative distribution NOTE: In Excel 2007, this is a Statistical function."
PERCENTILE,Compatibility,"Returns the k-th percentile of values in a range NOTE: In Excel 2007, this is a Statistical function."
PERCENTRANK,Compatibility,"Returns the percentage rank of a value in a data set NOTE: In Excel 2007, this is a Statistical function."
POISSON,Compatibility,"Returns the Poisson distribution NOTE: In Excel 2007, this is a Statistical function."
QUARTILE,Compatibility,"Returns the quartile of a data set NOTE: In Excel 2007, this is a Statistical function."
RANK,Compatibility,"Returns the rank of a number in a list of numbers NOTE: In Excel 2007, this is a Statistical function."
STDEV,Compatibility,Estimates standard deviation based on a sample
STDEVP,Compatibility,"Calculates standard deviation based on the entire population NOTE: In Excel 2007, this is a Statistical function."
TDIST,Compatibility,Returns the Student's t-distribution
TINV,Compatibility,Returns the inverse of the Student's t-distribution
TTEST,Compatibility,"Returns the probability associated with a Student's t-test NOTE: In Excel 2007, this is a Statistical function."
VAR,Compatibility,"Estimates variance based on a sample NOTE: In Excel 2007, this is a Statistical function."
VARP,Compatibility,"Calculates variance based on the entire population NOTE: In Excel 2007, this is a Statistical function."
